Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Police Village of St. George Act, 1980, S.O. 1980, c. 45","No",,,,"See R.S.O. 1990, Schedule C","01/01/2003","2002, c. 17, s. 7"
"Policing Oversight Act, 2018, S.O. 2018, c. 3, Sched. 2","Yes","Attorney General","1143/2018 (10/11/2018)","2018, c. 3, Sch. 2, s. 105
2019, c. 1, Sch. 3, s. 4","","26/03/2019","2019, c. 1, Sch. 3, s. 4"
"Policy and Priorities Board of Cabinet Act, R.S.O. 1990, c. P.16","Yes",,,,"","18/12/1998","1998, c. 18, Sch. J, s. 1"
"Pooled Registered Pension Plans Act, 2015, S.O. 2015, c. 9","Yes","Minister of Finance","1150/2018 (10/11/2018)","2016, c. 23, s. 65
2016, c. 5, Sch. 23
2017, c. 34, Sch. 17, s. 26
2018, c. 8, Sch. 26","","",""
"Pope John Paul II Day Act, 2014, S.O. 2014, c. 3","Yes","Minister of Children, Community and Social Services","1144/2018 (10/11/2018)",,"","",""
"Post-secondary Education Choice and Excellence Act, 2000, S.O. 2000, c. 36, Sched.","Yes","Minister of Training, Colleges and Universities","1161/2018 (10/11/2018)","2002, c. 8, Sch. F, s. 11
2009, c. 33, Sch. 25, s. 4
2010, c. 12, s. 1-15
2013, c. 13, Sch. 1, s. 17","","",""
"Pounds Act, R.S.O. 1990, c. P.17","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1999, c. 12, Sch. A, s. 21
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. C, s. 1 (2)
2006, c. 32, Sch. C, s. 50","","",""
"Poverty Reduction Act, 2009, S.O. 2009, c. 10 ","Yes","Minister of Children, Community and Social Services","1144/2018 (10/11/2018)","2015, c. 20, Sch. 36
2016, c. 30, s. 44","","",""
"Power Commission Act, 1912, S.O. 1912, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1913, S.O. 1913, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1914, S.O. 1914, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1915, S.O. 1915, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1916, S.O. 1916, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1917, S.O. 1917, c. 20","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1918, S.O. 1918, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1921, S.O. 1921, c. 20","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1922, S.O. 1922, c. 31","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1923, S.O. 1923, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1924, S.O. 1924, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1925, S.O. 1925, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1926, S.O. 1926, c. 17","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1927 (No. 2), S.O. 1927, c. 18","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1928, S.O. 1928, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1929 (No. 2), S.O. 1929, c. 21","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1931, S.O. 1931, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1932, S.O. 1932, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1933, S.O. 1933, c. 47","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1935, S.O. 1935, c. 53","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, 1937, S.O. 1937, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, R.S.O. 1914, c. 39","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Act, R.S.O. 1937, c. 62","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1909, S.O. 1909, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1919, S.O. 1919, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1935, S.O. 1935, c. 54","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1939, S.O. 1939, c. 35","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1943, S.O. 1943, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission Amendment Act, 1949, The, S.O. 1949, c. 73","No",,,"2006, c. 21, Sch. F, s. 98","s. 4 (1) pt. [17 (2, 4, 8, 10, 11)], 4 (2)","",""
"Power Commission Amendment Act, 1973, The, S.O. 1973, c. 57","No",,,,"the part of section 4 relating to subsection 2 (2)","",""
"Power Commission and Companies Transfer Act, 1924, S.O. 1924, c. 24","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission and Companies Transfer Act, 1929, S.O. 1929, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission and Companies Transfer Act, 1930, S.O. 1930, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission and Companies’ Transfer Act, 1925, S.O. 1925, c. 24","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Commission’s Systems Consolidation Act, 1961-62, S.O. 1961-62, c. 107","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Contracts Validation Act, 1936, S.O. 1936, c. 49","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Contracts Validation Act, 1937, S.O. 1937, c. 61","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Contracts Validation Act, 1938, S.O. 1938, c. 27","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Power Corporation Act, R.S.O. 1990, c. P.18","Yes","Minister of Energy, Northern Development and Mines","1148/2018 (10/11/2018)","1992, c. 10
1994, c. 11, s. 391
1994, c. 31
1997, c. 16, s. 13
1997, c. 26, Sch.
1997, c. 29, s. 66
1997, c. 31, s. 165
1997, c. 43, Sch. G, s. 24
1997, c. 5, s. 68
1998, c. 15, Sch. E, s. 28 (But see s. 28 (2) and 52 (3) and Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
1998, c. 3, s. 38
2002, c. 17, Sch. F, Table","","",""
"Power Corporation Insurance Act, R.S.O. 1990, c. P.19","Yes",,,,"","01/04/1999","1998, c. 15, Sch. E, s. 29"
"Power-Commission Act, 1920, S.O. 1920, c. 18","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Powers of Attorney Act, 1979, The, S.O. 1979, c. 107","No",,,,"s. 11 (2)","",""
"Powers of Attorney Act, R.S.O. 1990, c. P.20","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 24
1993, c. 27, Sch. ","","",""
"Pregnancy and Infant Loss Awareness, Research and Care Act, 2015, S.O. 2015, c. 37","Yes","Minister of Health","1110/2019 (31/08/2019)",,"","",""
"Prepaid Hospital and Medical Services Act, R.S.O. 1990, c. P.21","Yes","Minister of Finance","1150/2018 (10/11/2018)","1997, c. 28, s. 225, 226
1998, c. 18, Sch. G, s. 68
1999, c. 12, Sch. I, s. 7
2007, c. 7, Sch. 33
2014, c. 7, Sch. 27
2017, c. 20, Sch. 8, s. 120
2017, c. 34, Sch. 17, s. 27
2018, c. 8, Sch. 27","","",""
"Prepaid Services Act, R.S.O. 1990, c. P.22","Yes",,,"1999, c. 12, Sch. F, s. 33","","30/07/2005","2002, c. 30, Sch. E, s. 15"
"Presqu’ile Provincial Park Act, 1960, S.O. 1960, c. 86","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Prevention of and Remedies for Human Trafficking Act, 2017, S.O. 2017, c. 12, Sched. 2","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Private Career Colleges Act, 2005, S.O. 2005, c. 28, Sched. L","Yes","Minister of Training, Colleges and Universities","1161/2018 (10/11/2018)","2006, c. 21, Sch. F, s. 141
2009, c. 33, Sch. 25, s. 5
2010, c. 12, s. 16-21
2013, c. 13, Sch. 1, s. 18
2014, c. 11, Sch. 6, s. 7
2016, c. 2, Sch. 5
2019, c. 4, Sch. 10","","",""
"Private Career Colleges Act, R.S.O. 1990, c. P.26 (formerly Private Vocational Schools Act)","Yes",,,"1999, c. 12, Sch. G, s. 32
2000, c. 26, Sch. N, s. 2
2002, c. 8, Sch. P, s. 4","","18/09/2006","2005, c. 28, Sch. L, s. 60"
"Private Hospitals Act, R.S.O. 1990, c. P.24","Yes","Minister of Health","1110/2019 (31/08/2019)","1996, c. 1, Sch. F, s. 16-18
1997, c. 15, s. 15
1998, c. 18, Sch. G, s. 69
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. L, s. 11 (2), (3)
2009, c. 33, Sch. 18, s. 17 (2)
2010, c. 15, s. 237
2016, c. 30, s. 45
2017, c. 14, Sch. 4, s. 30
2017, c. 25, Sch. 9, s. 110
2017, c. 25, Sch. 9, s. 84
2019, c. 5, Sch. 3, s. 18","","",""
"Private Investigators and Security Guards Act, R.S.O. 1990, c. P.25","Yes",,,"1997, c. 19, s. 40
1997, c. 39, s. 13-26
1997, c. 8, s. 44
1999, c. 12, Sch. P, s. 11, 12
2006, c. 19, Sch. C, s. 1 (1)","","23/08/2007","2005, c. 34, s. 56"
"Private Security and Investigative Services Act, 2005, S.O. 2005, c. 34 ","Yes","Solicitor General","635/2019 (04/05/2019)","2006, c. 17, s. 254
2006, c. 21, Sch. F, s. 138
2009, c. 33, Sch. 9, s. 11
2015, c. 30, s. 27
2018, c. 3, Sch. 5, s. 49 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 47
2019, c. 7, Sch. 17, s. 143
2019, c. 7, Sch. 17, s. 143","","",""
"Proceedings Against the Crown Act, R.S.O. 1990, c. P.27","Yes","Attorney General","1143/2018 (10/11/2018)","1994, c. 27, s. 51
1997, c. 16, s. 14
2004, c. 16, Sch. D, Table
2006, c. 21, Sch. F, s. 124
2007, c. 7, Sch. 34
2008, c. 19, Sch. V, s. 10
2009, c. 24, s. 32
2009, c. 33, Sch. 17, s. 9
2009, c. 34, Sch. P
2015, c. 38, Sch. 7, s. 58
2017, c. 20, Sch. 3, s. 3
2019, c. 7, Sch. 17, s. 33","","",""
"Proceedings Against the Crown Act, The, R.S.O. 1970, c. 365","No",,,"2019, c. 7, Sch. 17, s. 33","s. 28, 29","",""
"Professional Engineers Act, 1984, S.O. 1984, c. 13","No",,,,"s. 22","",""
"Professional Engineers Act, R.S.O. 1990, c. P.28","Yes","Attorney General","1143/2018 (10/11/2018)","1997, c. 26, Sch.
1999, c. 12, Sch. B, s. 13
2000, c. 26, Sch. A, s. 12
2001, c. 9, Sch. B, s. 11
2002, c. 24, Sch. B, s. 25
2006, c. 19, Sch. B, s. 14
2009, c. 33, Sch. 2, s. 61
2009, c. 33, Sch. 6, s. 79
2009, c. 34, Sch. Q
2010, c. 15, s. 238
2010, c. 16, Sch. 2, s. 5 (but see 2017, c. 2, Sch. 2, s. 29)
2017, c. 2, Sch. 2, s. 26, 27
2017, c. 34, Sch. 34","","",""
"Professional Foresters Act, 2000, S.O. 2000, c. 18","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)","2009, c. 33, Sch. 22, s. 8
2009, c. 33, Sch. 6, s. 80
2017, c. 2, Sch. 9, s. 9
2017, c. 20, Sch. 8, s. 121","","",""
"Professional Geoscientists Act, 2000, S.O. 2000, c. 13","Yes","Minister of Energy, Northern Development and Mines","1148/2018 (10/11/2018)","2009, c. 33, Sch. 23, s. 7
2017, c. 20, Sch. 8, s. 122","","",""
"Prohibiting Profiting from Recounting Crimes Act, 2002, S.O. 2002, c. 2 ","Yes","Attorney General","1143/2018 (10/11/2018)","2005, c. 33, s. 14-19
2005, c. 5, s. 59
2007, c. 13, s. 46
2015, c. 38, Sch. 4, s. 29
2019, c. 7, Sch. 11, s. 6
2019, c. 7, Sch. 11, s. 6
CTS 20 SE 10 - 10","","",""
"Property and Civil Rights Act, R.S.O. 1990, c. P.29","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Protecting Child Performers Act, 2015, S.O. 2015, c. 2","Yes","Minister of Labour","1156/2018 (10/11/2018)","2017, c. 2, Sch. 13, s. 1-5","","",""
"Protecting the School Year Act, 2015, S.O. 2015, c. 11","Yes","Minister of Labour","1156/2018 (10/11/2018)",,"","",""
"Protection for Owners and Purchasers of New Homes Act, 2017, S.O. 2017, c. 33, Sched. 2","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2017, c. 33, Sch. 2, s. 72
2019, c. 7, Sch. 17, s. 144
2019, c. 7, Sch. 17, s. 144","","",""
"Protection of Livestock and Poultry from Dogs Act, R.S.O. 1990, c. L.24 (formerly Livestock, Poultry and Honey Bee Protection Act)","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 28, 60
1997, c. 41, s. 121
1999, c. 12, Sch. A, s. 17
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. A, s. 13
2006, c. 19, Sch. C, s. 1 (1)
2009, c. 33, Sch. 6, s. 65
2010, c. 16, Sch. 1, s. 4","","",""
"Province of Ontario Savings Office Act, R.S.O. 1990, c. P.30","Yes","Minister of Finance","1150/2018 (10/11/2018)","1993, c. 23, s. 72
1997, c. 43, Sch. F, s. 10
2002, c. 8, s. 9 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)","","",""
"Province of Ontario Savings Office Privatization Act, 2002, S.O. 2002, c. 8, Sched. H","Yes","Minister of Finance","1150/2018 (10/11/2018)","2004, c. 31, Sch. 32
2017, c. 2, Sch. 3, s. 9
2019, c. 7, Sch. 50
2019, c. 7, Sch. 50","","",""
"Provincial Advocate for Children and Youth Act, 2007, S.O. 2007, c. 9 ","Yes","Minister of Children, Community and Social Services","1144/2018 (10/11/2018)","2007, c. 9, s. 24
2009, c. 2, s. 28-31
2014, c. 13, Sch. 10
2015, c. 35
2017, c. 14, Sch. 4, s. 31
2018, c. 17, Sch. 34, s. 1-5","","01/05/2019","2018, c. 17, Sch. 34, s. 5"
"Provincial Aid to Drainage Amendment Act, 1950, S.O. 1950, 14 George VI, c. 58","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 35"
"Provincial Auctioneers Act, R.S.O. 1990, c. P.31","Yes",,,,"","09/12/1994","1994, c. 27, s. 35"
"Provincial Courts Amendment Act, 1979, S.O. 1979, c. 5","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Framework and Action Plan concerning Emerging Vector-Borne Diseases Act, 2015, S.O. 2015, c. 13","Yes","Minister of Health","1110/2019 (31/08/2019)",,"","",""
"Provincial Land Tax Act, 2006, S.O. 2006, c. 33, Sched. Z.2","Yes","Minister of Finance","1150/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 135 (4)
2008, c. 19, Sch. Q
2008, c. 7, Sch. A, s. 20
2009, c. 18, Sch. 25
2012, c. 8, Sch. 47
2016, c. 37, Sch. 20","","",""
"Provincial Land Tax Act, R.S.O. 1990, c. P.32","Yes",,,"1994, c. 25, s. 84
1997, c. 19, s. 19
1997, c. 31, s. 166
1997, c. 43, Sch. F, s. 11
1998, c. 3, s. 39
1999, c. 9, s. 178-182
2000, c. 25, s. 49
2001, c. 23, s. 177-184
2002, c. 17, Sch. F, Table
2002, c. 33, s. 147, 148
2006, c. 33, Sch. Z.3, s. 1
2006, c. 34, Sch. D, s. 97","","01/01/2009","2006, c. 33, Sch. Z.3, s. 1"
"Provincial Land Tax Amendment Act, 1953, S.O. 1953, c. 84","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Offences Act, R.S.O. 1980, c. 400","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Offences Act, R.S.O. 1990, c. P.33","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 20, s. 1
1993, c. 27, Sch.
1993, c. 31, s. 1
1994, c. 10, s. 23
1994, c. 17, s. 130, 131
1994, c. 27, s. 52
1995, c. 6, s. 7
1997, c. 30, Sch. D, s. 17
1998, c. 4, s. 1
2000, c. 26, Sch. A, s. 13
2002, c. 17, Sch. C, s. 23
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. A, s. 15 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2004, c. 22, s. 7, 8
2005, c. 18, s. 18
2006, c. 19, Sch. B, s. 15
2006, c. 19, Sch. D, s. 18
2006, c. 21, Sch. C, s. 131
2006, c. 21, Sch. E
2009, c. 33, Sch. 4, s. 1 (But see 2011, c. 1, Sch. 1, s. 8)
2011, c. 1, Sch. 1, s. 7
2015, c. 14, s. 60
2015, c. 27, Sch. 1, s. 3
2017, c. 2, Sch. 2, s. 28
2017, c. 20, Sch. 2, s. 38
2017, c. 26, Sch. 3, s. 27
2017, c. 34, Sch. 35, s. 1-25
2019, c. 7, Sch. 51
2019, c. 7, Sch. 51
CTS 20 SE 10 - 11
CTS 20 SE 10 - 12","","",""
"Provincial Offences Amendment Act, 1983, S.O. 1983, c. 87","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Offences Amendment Act, 1986, S.O. 1986, c. 42","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Parks Act, 1954, S.O. 1954, c. 75","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Provincial Parks Act, R.S.O. 1990, c. P.34","Yes",,,"1994, c. 27, s. 132
1996, c. 14, s. 3
1997, c. 41, s. 124
1998, c. 18, Sch. I, s. 41-47
2002, c. 17, Sch. F, Table
2006, c. 32, Sch. C, s. 51","","04/09/2007","2006, c. 12, s. 65"
"Provincial Parks and Conservation Reserves Act, 2006, S.O. 2006, c. 12","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","2006, c. 12, s. 57 (see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2006, c. 32, Sch. C, s. 52
2009, c. 12, Sch. L, s. 20, 21
2009, c. 33, Sch. 22, s. 9
2010, c. 18, s. 24
2011, c. 9, Sch. 27, s. 37
2012, c. 8, Sch. 48","","",""
"Provincial Schools Authority Act, R.S.O. 1990, c. P.35 (formerly Provincial Schools Negotiations Act)","Yes","Minister of Education","1147/2018 (10/11/2018)","1996, c. 12, s. 65
1997, c. 31, s. 167
2003, c. 2, s. 21
2006, c. 10, s. 65
2006, c. 19, Sch. L, s. 11 (3)
2006, c. 35, Sch. C, s. 112
2014, c. 5, s. 51","","",""
"Psychologists Registration Act, R.S.O. 1990, c. P.36","No",,,,"","31/12/1993","1991, c. 18, s. 45"
"Psychology Act, 1991, S.O. 1991, c. 38","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 43
2007, c. 10, Sch. B, s. 20
2007, c. 10, Sch. R, s. 18","","",""
"Psychotherapy Act, 2007, S.O. 2007, c. 10, Sched. R","Yes","Minister of Health","1110/2019 (31/08/2019)","2009, c. 26, s. 23","","",""
"PTSD Awareness Day Act, 2019, S.O. 2019, c. 7, Sched. 52","Yes","Ministerial responsibility for this Act has not yet been assigned by OIC.","","2019, c. 7, Sch. 52","","",""
"Public Accountancy Act, R.S.O. 1990, c. P.37","Yes",,,"1998, c. 18, Sch. B, s. 12
2000, c. 42, Sch. s. 24-28
2001, c. 8, s. 211-213
2002, c. 18, Sch. A, s. 16
2002, c. 24, Sch. C, s. 1-9","","01/11/2005","2004, c. 8, s. 45"
"Public Accounting Act, 2004, S.O. 2004, c. 8 ","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 19, Sch. B, s. 16
2006, c. 21, Sch. F, s. 125
2010, c. 15, s. 239
2010, c. 6, Sch. B, s. 76
2017, c. 8, Sch. 3, s. 77","","",""
"Public Authorities Protection Act, R.S.O. 1914, c. 89","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Authorities Protection Act, R.S.O. 1990, c. P.38","Yes","Attorney General","1143/2018 (10/11/2018)","2002, c. 24, Sch. B, s. 25
2006, c. 19, Sch. B, s. 17
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 21, Sch. B, s. 20
2006, c. 21, Sch. C, s. 132","","",""
"Public Guardian and Trustee Act, R.S.O. 1990, c. P.51 (formerly Public Trustee Act)","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 25
1996, c. 2, s. 75
1997, c. 23, s. 11
1998, c. 18, Sch. B, s. 13
2000, c. 26, Sch. A, s. 14
2001, c. 9, Sch. B, s. 12
2002, c. 18, Sch. A, s. 17
2004, c. 17, s. 32
2006, c. 19, Sch. B, s. 18
2006, c. 34, s. 20
2009, c. 33, Sch. 2, s. 62
2009, c. 33, Sch. 6, s. 81
2017, c. 20, Sch. 8, s. 123
2019, c. 7, Sch. 17, s. 145
2019, c. 7, Sch. 17, s. 145","","",""
"Public Halls Act, R.S.O. 1990, c. P.39","Yes",,,,"","30/01/1996","1996, c. 1, Sch. M, s. 70"
"Public Health Act, R.S.O. 1927, c. 262","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Health Amendment Act, 1956, S.O. 1956, c. 71","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Health Amendment Act, 1960, S.O. 1960, c. 92","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Health Amendment Act, 1964, S.O. 1964, c. 93","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Hospitals Act, R.S.O. 1990, c. P.40","Yes","Minister of Health","1110/2019 (31/08/2019)","1996, c. 1, Sch. F, s. 3-15
1997, c. 15, s. 16
1998, c. 18, Sch. G, s. 70
1999, c. 10, s. 5
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25
2004, c. 3, Sch. A, s. 96
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. L, s. 11 (2), (3)
2006, c. 21, Sch. F, s. 126
2006, c. 4, s. 52
2007, c. 10, Sch. I
2009, c. 33, Sch. 18, s. 17 (2), 26
2010, c. 14, s. 20
2010, c. 15, s. 240
2010, c. 25, s. 27
2014, c. 14, Sch. 2, s. 8
2016, c. 30, s. 46
2016, c. 5, Sch. 24
2017, c. 11, Sch. 3, s. 12-14
2017, c. 25, Sch. 9, s. 111
2019, c. 5, Sch. 3, s. 19
2019, c. 7, Sch. 17, s. 146
2019, c. 7, Sch. 17, s. 146","","",""
"Public Hospitals Amendment Act, 1981, S.O. 1981, c. 25","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Inquiries Act, 2009, S.O. 2009, c. 33, Sched. 6","Yes","Attorney General","1143/2018 (10/11/2018)","2017, c. 10, Sch. 4, s. 12
2018, c. 3, Sch. 5, s. 50 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 48
2019, c. 7, Sch. 17, s. 147
2019, c. 7, Sch. 17, s. 147","","",""
"Public Inquiries Act, R.S.O. 1990, c. P.41","Yes",,,"2000, c. 14
2006, c. 19, Sch. B, s. 19
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 35, Sch. C, s. 113","","01/06/2011","2009, c. 33, Sch. 6, s. 37"
"Public Institutions Inspection Act, R.S.O. 1937, c. 380","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Institutions Inspection Act, R.S.O. 1990, c. P.42","Yes",,,,"","09/12/1994","1994, c. 27, s. 53"
"Public Lands Act, R.S.O. 1914, c. 28","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Act, R.S.O. 1990, c. P.43","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)","1994, c. 17, s. 133
1994, c. 25, s. 85
1996, c. 1, Sch. N, s. 4
1998, c. 18, Sch. I, s. 48-59
1999, c. 12, Sch. N, s. 6
2000, c. 26, Sch. L, s. 9
2001, c. 9, Sch. K, s. 5
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. L, s. 7
2002, c. 24, Sch. B, s. 44
2006, c. 19, Sch. P, s. 5
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 33, Sch. Z.3, s. 28
2009, c. 12, Sch. L, s. 22-24
2010, c. 16, Sch. 10, s. 4
2010, c. 18, s. 25 (1), (2)
2011, c. 9, Sch. 27, s. 38
2012, c. 8, Sch. 49
2015, c. 38, Sch. 7, s. 59
2016, c. 8, Sch. 5
2017, c. 2, Sch. 14, s. 21","","",""
"Public Lands Amendment Act, 1921, S.O. 1921, c. 15","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1947, S.O. 1947, c. 84","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
